Loan_ID,Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,LoanAmountTerm,Gender_Male,Married_Yes,Education_Not_Graduate,SelfEmployed_Yes,PropertyArea_Semiurban,PropertyArea_Urban,LoanStatus_Y,Cluster
LP001350,0.0,13650,0,128.0,360.0,True,True,False,False,False,True,True,0
LP001401,1.0,14583,0,185.0,180.0,True,True,False,False,False,False,True,0
LP001448,3.0,23803,0,370.0,360.0,True,True,False,False,False,False,True,0
LP001492,0.0,14999,0,242.0,360.0,True,False,False,False,True,False,False,0
LP001516,2.0,14866,0,70.0,360.0,False,True,False,False,False,True,True,0
LP001844,0.0,16250,0,192.0,360.0,True,False,False,True,False,True,False,0
LP001859,0.0,14683,2100,304.0,360.0,True,True,False,False,False,False,False,0
LP001907,0.0,14583,0,436.0,360.0,True,True,False,False,True,False,True,0
LP001922,0.0,20667,0,128.0,360.0,True,True,False,False,False,False,False,0
LP001996,0.0,20233,0,480.0,360.0,True,False,False,False,False,False,False,0
LP002065,3.0,15000,0,300.0,360.0,True,True,False,False,False,False,True,0
LP002194,0.0,15759,0,55.0,360.0,False,False,False,True,True,False,True,0
LP002364,0.0,14880,0,96.0,360.0,True,True,False,False,True,False,True,0
LP002501,0.0,16692,0,110.0,360.0,True,True,False,False,True,False,True,0
LP002527,2.0,16525,1014,150.0,360.0,True,True,False,True,False,False,True,0
LP002531,1.0,16667,2250,86.0,360.0,True,True,False,True,True,False,True,0
LP002547,1.0,18333,0,500.0,360.0,True,True,False,False,False,True,False,0
LP002582,0.0,17263,0,225.0,360.0,False,False,True,True,True,False,True,0
LP002624,0.0,20833,6667,480.0,360.0,True,True,False,False,False,True,True,0
LP002634,1.0,13262,0,40.0,360.0,False,False,False,False,False,True,True,0
LP002699,2.0,17500,0,400.0,360.0,True,True,False,True,False,False,True,0
LP002731,0.0,18165,0,125.0,360.0,False,False,True,True,False,True,True,0
LP002855,2.0,16666,0,275.0,360.0,True,True,False,False,False,True,True,0
LP002938,0.0,16120,0,260.0,360.0,True,True,False,True,False,True,True,0
