Loan_ID,Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,LoanAmountTerm,Gender_Male,Married_Yes,Education_Not_Graduate,SelfEmployed_Yes,PropertyArea_Semiurban,PropertyArea_Urban,LoanStatus_Y,Cluster
LP001020,1.0,12841,10968,349.0,360.0,True,True,False,False,True,False,False,2
LP001043,0.0,7660,0,104.0,360.0,True,True,True,False,False,True,False,2
LP001066,0.0,9560,0,191.0,360.0,True,True,False,True,True,False,True,2
LP001100,3.0,12500,3000,320.0,360.0,True,False,False,False,False,False,False,2
LP001186,1.0,11500,0,286.0,360.0,False,True,False,True,False,True,False,2
LP001198,1.0,8080,2250,180.0,360.0,True,True,False,False,False,True,True,2
LP001233,1.0,10750,0,312.0,360.0,True,True,False,False,False,True,True,2
LP001289,0.0,8566,0,210.0,360.0,True,False,False,False,False,True,True,2
LP001369,2.0,11417,1126,225.0,360.0,True,True,False,False,False,True,True,2
LP001422,0.0,10408,0,259.0,360.0,False,False,False,False,False,True,True,2
LP001451,1.0,10513,3850,160.0,180.0,True,True,False,True,False,True,False,2
LP001508,2.0,11757,0,187.0,180.0,True,True,False,False,False,True,True,2
LP001519,0.0,10000,1666,225.0,360.0,False,False,False,False,False,False,False,2
LP001531,0.0,9166,0,244.0,360.0,True,False,False,False,False,True,False,2
LP001543,1.0,9538,0,187.0,360.0,True,True,False,False,False,True,True,2
LP001562,0.0,7933,0,275.0,360.0,True,True,False,False,False,True,False,2
LP001572,0.0,9323,0,75.0,180.0,True,True,False,False,False,True,True,2
LP001580,2.0,8000,0,200.0,360.0,True,True,False,False,True,False,True,2
LP001647,0.0,9328,0,188.0,180.0,True,True,False,False,False,False,True,2
LP001656,0.0,12000,0,164.0,360.0,True,False,False,False,True,False,False,2
LP001666,0.0,8333,3750,187.0,360.0,True,False,False,False,False,False,True,2
LP001673,0.0,11000,0,83.0,360.0,True,False,False,True,False,True,False,2
LP001708,0.0,10000,0,214.0,360.0,False,False,False,False,True,False,False,2
LP001713,1.0,7787,0,240.0,360.0,True,True,False,True,False,True,True,2
LP001749,0.0,7578,1010,175.0,360.0,True,True,False,False,True,False,True,2
LP001776,0.0,8333,0,280.0,360.0,False,False,False,False,True,False,True,2
LP001814,2.0,9703,0,112.0,360.0,True,True,False,False,False,True,True,2
LP001891,0.0,11146,0,136.0,360.0,True,True,False,False,False,True,True,2
LP001935,0.0,9508,0,187.0,360.0,True,False,False,False,False,False,True,2
LP001998,2.0,7667,0,185.0,360.0,True,True,True,False,False,False,True,2
LP002050,1.0,10000,0,155.0,360.0,True,True,False,True,False,False,False,2
LP002067,1.0,8666,4983,376.0,360.0,True,True,False,True,False,False,False,2
LP002103,1.0,9833,1833,182.0,180.0,True,True,False,True,False,True,True,2
LP002139,0.0,9083,0,228.0,360.0,True,True,False,False,True,False,True,2
LP002140,0.0,8750,4167,308.0,360.0,True,False,False,False,False,False,False,2
LP002149,2.0,8333,3167,165.0,360.0,True,True,False,False,False,False,True,2
LP002201,2.0,9323,7873,380.0,300.0,True,True,False,True,False,False,True,2
LP002219,3.0,8750,4996,130.0,360.0,True,True,False,False,False,False,True,2
LP002255,3.0,9167,0,185.0,360.0,True,False,False,False,False,False,True,2
LP002262,3.0,9504,0,275.0,360.0,True,True,False,False,False,False,True,2
LP002315,1.0,8300,0,152.0,300.0,True,True,False,False,True,False,False,2
LP002377,1.0,8624,0,150.0,360.0,False,False,False,True,True,False,True,2
LP002386,0.0,12876,0,405.0,360.0,True,False,False,False,True,False,True,2
LP002393,0.0,10047,0,128.0,240.0,False,True,False,False,True,False,True,2
LP002403,0.0,10416,0,187.0,360.0,True,False,False,True,False,True,False,2
LP002409,0.0,7901,1833,180.0,360.0,True,True,False,False,False,False,True,2
LP002473,0.0,8334,0,160.0,360.0,True,True,False,False,True,False,False,2
LP002484,3.0,7740,0,128.0,180.0,True,True,False,False,False,True,True,2
LP002541,0.0,10833,0,234.0,360.0,True,True,False,False,True,False,True,2
LP002543,2.0,8333,0,246.0,360.0,True,True,False,False,True,False,True,2
LP002693,2.0,7948,7166,480.0,360.0,True,True,False,True,False,False,True,2
LP002729,1.0,11250,0,196.0,360.0,True,False,False,False,True,False,False,2
LP002795,3.0,10139,0,260.0,360.0,True,True,False,True,True,False,True,2
LP002832,2.0,8799,0,258.0,360.0,True,True,False,False,False,True,False,2
LP002933,3.0,9357,0,292.0,360.0,True,False,False,True,True,False,True,2
LP002945,0.0,9963,0,180.0,360.0,True,True,False,True,False,False,True,2
LP002959,1.0,12000,0,496.0,360.0,False,True,False,False,True,False,True,2
LP002983,1.0,8072,240,253.0,360.0,True,True,False,False,False,True,True,2
LP002984,2.0,7583,0,187.0,360.0,True,True,False,False,False,True,True,2
