Loan_ID,Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,LoanAmountTerm,Gender_Male,Married_Yes,Education_Not_Graduate,SelfEmployed_Yes,PropertyArea_Semiurban,PropertyArea_Urban,LoanStatus_Y,Cluster
LP001005,0.0,3000,0,66.0,360.0,True,True,False,True,False,True,True,3
LP001006,0.0,2583,2358,120.0,360.0,True,True,True,False,False,True,True,3
LP001013,0.0,2333,1516,95.0,360.0,True,True,True,False,False,True,True,3
LP001014,3.0,3036,2504,158.0,360.0,True,True,False,False,True,False,False,3
LP001018,2.0,4006,1526,168.0,360.0,True,True,False,False,False,True,True,3
LP001024,2.0,3200,700,70.0,360.0,True,True,False,False,False,True,True,3
LP001027,2.0,2500,1840,109.0,360.0,True,True,False,False,False,True,True,3
LP001028,2.0,3073,8106,200.0,360.0,True,True,False,False,False,True,True,3
LP001029,0.0,1853,2840,114.0,360.0,True,False,False,False,False,False,False,3
LP001030,2.0,1299,1086,17.0,120.0,True,True,False,False,False,True,True,3
LP001034,1.0,3596,0,100.0,240.0,True,False,True,False,False,True,True,3
LP001036,0.0,3510,0,76.0,360.0,False,False,False,False,False,True,False,3
LP001041,0.0,2600,3500,115.0,360.0,True,True,False,False,False,True,True,3
LP001047,0.0,2600,1911,116.0,360.0,True,True,True,False,True,False,False,3
LP001050,2.0,3365,1917,112.0,360.0,True,True,True,False,False,False,False,3
LP001052,1.0,3717,2925,151.0,360.0,True,True,False,False,True,False,False,3
LP001068,0.0,2799,2253,122.0,360.0,True,True,False,False,True,False,True,3
LP001086,0.0,1442,0,35.0,360.0,True,False,True,False,False,True,False,3
LP001087,2.0,3750,2083,120.0,360.0,False,False,False,False,True,False,True,3
LP001091,1.0,4166,3369,201.0,360.0,True,True,False,False,False,True,False,3
LP001095,0.0,3167,0,74.0,360.0,True,False,False,False,False,True,False,3
LP001098,0.0,3500,1667,114.0,360.0,True,True,False,False,True,False,True,3
LP001106,0.0,2275,2067,128.0,360.0,True,True,False,False,False,True,True,3
LP001109,0.0,1828,1330,100.0,360.0,True,True,False,False,False,True,False,3
LP001112,0.0,3667,1459,144.0,360.0,False,True,False,False,True,False,True,3
LP001114,0.0,4166,7210,184.0,360.0,True,False,False,False,False,True,True,3
LP001116,0.0,3748,1668,110.0,360.0,True,False,True,False,True,False,True,3
LP001119,0.0,3600,0,80.0,360.0,True,False,False,False,False,True,False,3
LP001120,0.0,1800,1213,47.0,360.0,True,False,False,False,False,True,True,3
LP001123,0.0,2400,0,75.0,360.0,True,True,False,False,False,True,True,3
LP001131,0.0,3941,2336,134.0,360.0,True,True,False,False,True,False,True,3
LP001137,0.0,3410,0,88.0,360.0,False,False,False,False,False,True,True,3
LP001146,0.0,2645,3440,120.0,360.0,False,True,False,False,False,True,False,3
LP001151,0.0,4000,2275,144.0,360.0,False,False,False,False,True,False,True,3
LP001155,0.0,1928,1644,100.0,360.0,False,True,True,False,True,False,True,3
LP001157,0.0,3086,0,120.0,360.0,False,False,False,False,True,False,True,3
LP001194,2.0,2708,1167,97.0,360.0,True,True,False,False,True,False,True,3
LP001195,0.0,2132,1591,96.0,360.0,True,True,False,False,True,False,True,3
LP001197,0.0,3366,2200,135.0,360.0,True,True,False,False,False,False,False,3
LP001199,2.0,3357,2859,144.0,360.0,True,True,True,False,False,True,True,3
LP001205,0.0,2500,3796,120.0,360.0,True,True,False,False,False,True,True,3
LP001206,3.0,3029,0,99.0,360.0,True,True,False,False,False,True,True,3
LP001207,0.0,2609,3449,165.0,180.0,True,True,True,True,False,False,False,3
LP001222,0.0,4166,0,116.0,360.0,False,False,False,False,True,False,False,3
LP001228,0.0,3200,2254,126.0,180.0,True,False,True,False,False,True,False,3
LP001243,0.0,3208,3066,172.0,360.0,True,True,False,False,False,True,True,3
LP001245,2.0,1875,1875,97.0,360.0,True,True,True,True,True,False,True,3
LP001248,0.0,3500,0,81.0,300.0,True,False,False,False,True,False,True,3
LP001255,0.0,3750,0,113.0,480.0,True,False,False,False,False,True,False,3
LP001256,0.0,3750,4750,176.0,360.0,True,False,False,False,False,True,False,3
LP001259,1.0,1000,3022,110.0,360.0,True,True,False,True,False,True,False,3
LP001263,3.0,3167,4000,180.0,300.0,True,True,False,False,True,False,False,3
LP001264,3.0,3333,2166,130.0,360.0,True,True,True,True,True,False,True,3
LP001265,0.0,3846,0,111.0,360.0,False,False,False,False,True,False,True,3
LP001266,1.0,2395,0,128.0,360.0,True,True,False,True,True,False,True,3
