Loan_ID,Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,LoanAmountTerm,Gender_Male,Married_Yes,Education_Not_Graduate,SelfEmployed_Yes,PropertyArea_Semiurban,PropertyArea_Urban,LoanStatus_Y
1006.0,0.0,2583.0,2358.0,120.0,360.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
1013.0,0.0,2333.0,1516.0,95.0,360.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
1027.0,2.0,2500.0,1840.0,109.0,360.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
1029.0,0.0,1853.0,2840.0,114.0,360.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1030.0,2.0,1299.0,1086.0,17.0,120.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
1047.0,0.0,2600.0,1911.0,116.0,360.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
1068.0,0.0,2799.0,2253.0,122.0,360.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
1109.0,0.0,1828.0,1330.0,100.0,359.9860853432282,1.0,1.0,0.0,0.0,0.0,1.0,0.0
1120.0,0.0,1800.0,1213.0,47.0,360.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1155.0,0.0,1928.0,1644.0,100.0,360.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
1194.0,2.0,2708.0,1167.0,97.0,360.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
1195.0,0.0,2132.0,1591.0,96.0,360.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
1245.0,2.0,1875.0,1875.0,97.0,360.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1267.0,2.0,1378.0,1881.0,167.0,360.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1279.0,0.0,2366.0,2531.0,136.0,360.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
1282.0,0.0,2500.0,2118.0,104.0,360.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
1316.0,0.0,2958.0,2900.0,131.0,360.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
1327.0,0.0,2484.0,2302.0,137.0,360.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
1333.0,0.0,1977.0,997.0,50.0,360.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
1384.0,3.0,2071.0,754.0,94.0,480.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
1387.0,0.0,2929.0,2333.0,139.0,360.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
1405.0,1.0,2214.0,1398.0,85.0,360.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
1473.0,0.0,2014.0,1929.0,74.0,360.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1507.0,0.0,2698.0,2034.0,122.0,360.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
1518.0,1.0,1538.0,1425.0,30.0,360.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
1546.0,0.0,2980.0,2083.0,120.0,360.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1560.0,0.0,1863.0,1041.0,98.0,360.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
1581.0,0.0,1820.0,1769.0,95.0,360.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1608.0,2.0,2045.0,1619.0,101.0,360.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1630.0,0.0,2333.0,1451.0,102.0,480.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1643.0,0.0,2383.0,2138.0,58.0,360.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1669.0,0.0,1907.0,2365.0,120.0,351.82091740287797,0.0,0.0,1.0,0.0,0.0,1.0,1.0
1674.0,1.0,2600.0,2500.0,90.0,360.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
1722.0,0.0,150.0,1800.0,135.0,360.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1744.0,0.0,2971.0,2791.0,144.0,360.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
1765.0,1.0,2491.0,2054.0,104.0,360.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
1800.0,1.0,2510.0,1983.0,140.0,180.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
1824.0,1.0,2882.0,1843.0,123.0,480.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
1825.0,0.0,1809.0,1868.0,90.0,360.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
1841.0,0.0,2583.0,2167.0,104.0,360.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
1868.0,0.0,2060.0,2209.0,134.0,360.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
1884.0,1.0,2876.0,1560.0,90.0,360.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1892.0,0.0,2833.0,1857.0,126.0,360.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1894.0,0.0,2620.0,2223.0,150.0,360.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
1900.0,1.0,2750.0,1842.0,115.0,360.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
1917.0,0.0,1811.0,1666.0,54.0,360.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1925.0,0.0,2600.0,1717.0,99.0,300.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1963.0,1.0,2014.0,2925.0,113.0,360.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
